GHGRP ID,Landfill ID,Landfill Name,State,Landfill Alias,Physical Address,City,County,Zip Code,Latitude,Longitude,Composting?,Ownership Type,Landfill Owner Organization(s),Landfill Operator Organization,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Waste in Place Year,Annual Waste Acceptance Rate (tons per year),Annual Waste Acceptance Year,Does LF Recirculate Leachate?,Leachate Recirc Frequency (Past 10 Yrs),Permitted as RD&D LF?,LFG Generated (mmscfd),LFG Collection System In Place?,LFG Collected (mmscfd),LFG Collected Year,Percent Methane,Flares in Place?,Number of Flares,LFG Flared (mmscfd),LFG Flared Year,Number of Wells,GCCS Capacity (cfm),Passive Venting/Flaring?
1005839,11,Huntsville MSWLF,AL,,4100 Leeman Ferry Road SW,Huntsville,Madison,35804,34.6885,-86.592,No,Public,City of Huntsville S.W. Disposal Authority,City of Huntsville S.W. Disposal Authority,1946,2060,Open,215,187.7,40,,,"13,263,709",2022,"489,532",2022,No,Not used,No,2.09,Shutdown,,,,Shutdown,,,,,,Yes
,10,Irvington SLF,AL,,7195 Half Mile Road,Irvington,Mobile,36544,30.490688,-88.210629,No,Public,Mobile County Commission,McCrory & Williams,1974,1981,Closed,80,,30,,,"967,998",,,,Unknown,Not used,No,,Yes,,,50,No,,,,,,Unknown
1004014,25,Jefferson County LF No. 1,AL,Mt. Olive SLF MSWLF,101 Barber Boulevard,Gardendale,Jefferson,35071,33.711,-86.873,No,Public,"Jefferson County, AL","Republic Services, Inc.",1982,2048,Open,163.7,70.4,,,"21,112,943","6,273,864",2022,"243,755",2022,No,Not used,No,1.6,No,,,,No,,,,,,No
1005680,13,Jefferson County LF No. 2,AL,Turkey Creek SLF MSWLF,7035 Narrows Road,Pinson,Jefferson,35126,33.7077,-86.7104,No,Public,"Jefferson County, AL","Republic Services, Inc.",1982,2036,Open,,65.9,,,"3,483,997","1,665,315",2022,0,2022,No,Not used,No,1.1,No,,,,No,,,,,,No
1007875,20,Magnolia Subtitle D MSW LF,AL,,15093 Landfill Drive,Summerdale,Baldwin,36580,30.446232,-87.7761,No,Public,"Baldwin County, AL","Baldwin County, AL",1997,2036,Open,96,47.9,,10,"6,408,237","4,796,158",2022,"254,576",2022,No,Not used,No,3.023,Yes,0.764,2022,51,Yes,,0.764,2022,51,1200,No
,31,Monroe County SLF,AL,,,Monroeville,Monroe,,31.59573,-87.33187,No,Public,"Monroe County Commission, AL",,1982,1998,Closed,,69.5,,,,"1,205,385",1998,"75,337",1998,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
1002464,2011,Morris Farm Landfill,AL,"Lawrence County Disposal, Inc.",4 County Road 418,Hillsboro,Lawrence,35643,34.70381,-87.22116,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1997,2064,Open,148,55,,,"16,643,163","7,136,806",2022,"243,755",2022,No,Not used,No,2.38,Yes,1.203,2022,53.3,Yes,1,1.203,2022,93,2500,No
1006028,14,New Georgia MSWLF,AL,Birmingham SLF,2800 47th Avenue North,Birmingham,Jefferson,35207,33.585,-86.815,No,Public,"City of Birmingham, AL","City of Birmingham, AL",1970,2030,Open,,149,60,,"9,644,756","7,784,828",2022,"3,778",2022,No,Not used,No,,Shutdown,1.3,,50,Yes,1,1.3,,100,,Yes
1006957,18,North Montgomery SLF MSWLF,AL,,115 Division Street,Montgomery,Montgomery,36104,32.4131,-86.3245,No,Public,"City of Montgomery, AL","City of Montgomery, AL",1969,2040,Open,348,48.7,,,,"11,321,607",2022,"147,265",2022,No,Not used,No,2.47,Yes,0.473,2022,46,Yes,1,0.473,2022,42,1200,No
1002646,22,Pine View SLF MSWLF,AL,"Walker County Disposal, Inc.",2730 Bryan Road,Dora,Walker,35062,33.71458,-87.04981,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1993,2025,Open,166,87.2,,75,"20,503,092","11,461,882",2022,"250,076",2022,No,Not used,No,4.78,Yes,1.961,2022,54.1,Yes,1,1.961,2022,122,4000,No
1003265,17,Salem Landfill,AL,"Opelika Sanitary LF; Salem Waste Disposal, Inc. MSWLF",4210 Lee Road 183,Opelika,Lee,36804,32.65347,-85.2636,No,Private,WM,WM,1985,2074,Open,222,107,,,"33,967,713","13,460,974",2022,"453,427",2022,No,Not used,No,4.93,Yes,2,2022,52.6,Yes,1,2,2022,112,3000,No
1006304,2410,Sand Valley Landfill,AL,"Lebanon Landfill; GEK, Inc.",3345 County Road 209,Collinsville,DeKalb,35961,34.342,-85.862,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1997,2063,Open,318.9,83,,,"28,041,435","10,665,246",2022,"416,443",2022,No,Not used,No,,Yes,3.149,2022,50.1,Yes,1,0.88,2022,137,4000,No
